,Date,Open,High,Low,Close,%Cchange,%Pchange
78,2018-04-27,3840.5,3856.65,3824.45,3848.85,0.217419606822026,0.5741974875612172
79,2018-04-30,3852.85,3861.65,3835.4,3843.85,-0.2335933140402559,-0.1300779166720865
80,2018-05-02,3858.1,3858.3,3795.75,3800.95,-1.4812990850418624,-1.1286652021205248
81,2018-05-03,3793.8,3821.35,3781.2,3808.6,0.390110179766981,0.2008612088431468
82,2018-05-04,3808.7,3822.2,3784.45,3789.5,-0.5041090135741807,-0.5040242776091808
83,2018-05-07,3791.3,3834.2,3776.55,3827.3,0.9495423733284096,0.9876414182321788
84,2018-05-08,3827.25,3860.15,3825.15,3852.9,0.6701940035273393,0.6644345817436192
85,2018-05-09,3829.65,3846.85,3820.85,3841.25,0.3028997427963367,-0.3032866905304286
86,2018-05-10,3848.95,3850.8,3819.95,3828.4,-0.533911846087887,-0.3356493574339125
87,2018-05-11,3837.5,3870.9,3835.85,3844.0,0.1693811074918566,0.4058272632674274
88,2018-05-14,3851.8,3865.75,3834.4,3848.1,-0.096058985409426,0.1065460876796317
89,2018-05-15,3850.8,3894.5,3833.3,3837.55,-0.3440843461098992,-0.2749149848210375
90,2018-05-16,3834.15,3836.75,3779.5,3816.95,-0.4486000808523472,-0.5396979263548217
91,2018-05-17,3819.35,3834.25,3804.85,3824.45,0.1335305745742052,0.1961066297114618
92,2018-05-18,3819.8,3844.55,3764.85,3770.65,-1.2867165820200035,-1.4268097012451362
93,2018-05-21,3779.95,3790.3,3761.2,3769.5,-0.2764586833159121,-0.0305080249369967
94,2018-05-22,3777.65,3788.2,3761.25,3772.9,-0.1257395470729157,0.0901163561186379
95,2018-05-23,3754.05,3771.05,3678.8,3686.3,-1.8047175716892423,-2.349239074410653
96,2018-05-24,3701.25,3701.3,3619.45,3660.9,-1.0901722391084068,-0.6938184599415469
97,2018-05-25,3662.1,3733.15,3657.4,3725.3,1.7257857513448642,1.728719834644192
98,2018-05-28,3770.6,3822.9,3768.65,3816.75,1.2239431390229696,2.396017554201869
99,2018-05-29,3829.1,3849.4,3814.55,3828.95,-0.0039173696168836,0.3186252105668608
100,2018-05-30,3809.6,3842.5,3805.3,3815.95,0.1666841663166712,-0.3406753233139847
101,2018-05-31,3833.9,3863.85,3808.45,3851.55,0.4603667283966741,0.924303202606752
102,2018-06-01,3837.15,3842.75,3781.45,3796.2,-1.0671983112466354,-1.4580369843527836
103,2018-06-04,3816.8,3824.25,3749.45,3757.15,-1.5628274994760032,-1.0393516362136122
104,2018-06-05,3753.75,3758.1,3705.45,3730.9,-0.6087246087246063,-0.7035835857299847
105,2018-06-06,3726.6,3765.5,3724.2,3759.4,0.8801588579402185,0.7580996967601213
106,2018-06-07,3763.3,3805.3,3763.3,3800.2,0.9805224138389084,1.073627703805056
107,2018-06-08,3785.05,3797.9,3765.4,3792.2,0.1889010713200522,-0.21095933758768
108,2018-06-11,3793.35,3808.9,3781.75,3785.85,-0.1977144212898888,-0.1677298361002129
109,2018-06-12,3796.15,3802.35,3780.4,3788.95,-0.1896658456594252,0.0818168621913698
110,2018-06-13,3797.45,3802.5,3776.05,3784.25,-0.3476016800747822,-0.1241989826253502
111,2018-06-14,3781.05,3781.05,3730.65,3747.3,-0.8926091958582932,-0.9860432844981672
112,2018-06-15,3746.75,3750.05,3688.85,3694.6,-1.3918729565623564,-1.4264061062090694
113,2018-06-18,3709.5,3729.65,3693.15,3718.55,0.2439681897829945,0.644068252410221
114,2018-06-19,3708.55,3708.55,3673.25,3684.7,-0.6431084925375244,-0.9186636632561772
115,2018-06-20,3691.45,3694.95,3649.85,3670.0,-0.5810724782944323,-0.4005449591280605
116,2018-06-21,3684.7,3684.7,3625.05,3655.4,-0.7951800689336914,-0.399409093396069
117,2018-06-22,3660.85,3670.95,3637.6,3664.6,0.1024352267915921,0.2510505921519352
118,2018-06-25,3663.9,3664.75,3588.85,3598.9,-1.7740658860776768,-1.8255578093306235
119,2018-06-26,3585.7,3621.5,3582.05,3604.15,0.5145438826449583,0.1456654134816808
120,2018-06-27,3597.4,3598.35,3476.75,3491.5,-2.943792739200536,-3.226406988400404
121,2018-06-28,3468.5,3502.7,3416.75,3436.95,-0.9096151073951328,-1.5871630369950156
122,2018-06-29,3450.9,3538.15,3450.9,3527.45,2.218261902692044,2.5655927086138712
123,2018-07-02,3527.6,3532.75,3448.25,3466.65,-1.7278036058509985,-1.753854585839347
124,2018-07-03,3464.1,3492.9,3448.3,3488.0,0.6899338933633582,0.6120986238532083
125,2018-07-04,3488.75,3496.7,3460.2,3465.05,-0.6793264063059783,-0.6623281049335455
126,2018-07-05,3464.55,3478.3,3442.25,3461.45,-0.0894777099479113,-0.104002657845711
127,2018-07-06,3473.3,3509.15,3460.4,3488.0,0.4232286298332945,0.7611811926605556
128,2018-07-09,3499.8,3519.25,3494.5,3514.75,0.427167266700949,0.7610783128245252
129,2018-07-10,3525.55,3550.8,3513.1,3547.65,0.6268525478294141,0.9273744591490166
130,2018-07-11,3543.15,3545.1,3481.45,3492.4,-1.4323412782411131,-1.5820066429962203
131,2018-07-12,3545.6,3548.65,3494.2,3497.8,-1.3481498194945771,0.1543827548744951
132,2018-07-13,3515.95,3521.8,3467.55,3480.45,-1.009684438060837,-0.4984987573446067
133,2018-07-16,3481.75,3481.75,3438.65,3444.05,-1.0827888274574515,-1.0568952250983474
134,2018-07-17,3461.95,3513.45,3452.8,3507.35,1.3113996447089096,1.8047813876573404
135,2018-07-18,3524.65,3541.35,3499.2,3511.0,-0.3872724951413641,0.1039589860438647
136,2018-07-19,3518.3,3527.9,3484.6,3501.9,-0.4661342125458344,-0.2598589337216913
137,2018-07-20,3491.8,3493.15,3461.8,3478.7,-0.3751646715161339,-0.6669158018800205
138,2018-07-23,3483.3,3517.65,3475.05,3489.8,0.18660465650389,0.3180698034271409
139,2018-07-24,3501.9,3547.4,3498.3,3543.75,1.1950655358519635,1.5223985890652505
140,2018-07-25,3539.3,3542.65,3504.2,3510.9,-0.8024185573418499,-0.9356575237118662
141,2018-07-26,3506.65,3544.15,3496.0,3534.1,0.7827983973307806,0.6564613338615155
142,2018-07-27,3546.45,3582.0,3527.45,3573.25,0.7556852627275215,1.0956412229762846
143,2018-07-30,3589.1,3629.3,3583.05,3618.35,0.8149675406090663,1.2464244752442388
144,2018-07-31,3615.5,3623.2,3593.55,3610.6,-0.135527589545017,-0.2146457652467734
145,2018-08-01,3629.5,3653.25,3624.35,3646.9,0.4794048767047827,0.995365927225868
146,2018-08-02,3668.1,3678.1,3635.6,3669.3,0.032714484337948,0.6104706619791266
147,2018-08-03,3681.3,3705.35,3678.2,3694.5,0.3585689837828978,0.682095006090129
148,2018-08-06,3707.3,3719.55,3694.6,3698.9,-0.2265799908289075,0.1189542837059691
149,2018-08-07,3703.95,3712.1,3663.1,3678.65,-0.6830545768706308,-0.5504736792029684
150,2018-08-08,3685.35,3696.9,3660.2,3677.95,-0.2007950398198296,-0.0190323413858337
151,2018-08-09,3704.55,3704.65,3668.7,3692.75,-0.3185272165310275,0.4007853225915694
152,2018-08-10,3701.2,3704.0,3662.7,3677.0,-0.6538419971900956,-0.4283383192820233
153,2018-08-13,3672.5,3672.5,3612.1,3620.9,-1.405037440435668,-1.5493385622359055
154,2018-08-14,3625.85,3634.95,3606.35,3620.8,-0.1392776866114077,-0.0027618205921318
155,2018-08-16,3618.45,3642.2,3611.4,3616.55,-0.0525086708397141,-0.1175153115538289
156,2018-08-17,3631.5,3642.05,3608.75,3614.9,-0.4571113864794137,-0.0456444161664248
157,2018-08-20,3629.5,3655.45,3626.75,3633.95,0.1226064196170221,0.5242229529850363
158,2018-08-21,3648.55,3652.65,3624.25,3644.25,-0.1178550383028924,0.2826370309391557
159,2018-08-23,3650.25,3654.85,3612.75,3636.0,-0.3903842202588864,-0.2268976897689769
160,2018-08-24,3635.3,3667.35,3626.95,3654.45,0.5267790828817329,0.5048639330131708
